ID,From,To,Location,Description,新郎,新娘,姊妹,兄弟,Crew,四大長老,Material,Check Point
30,11:45,12:00,馬鞍山男家,"新郎,新娘食少少野
兄弟,姊妹執行李
攝影師 食飯 (self arrange)",除掛 + 食野,除掛 + 食野 + 除金器,"[Yvonne] 除金器 並放落金器袋 (金器會由男家媽媽帶去酒店)
[Vicx] 檢查有冇帶齊
掛 (新郎, 新娘)
敬茶物品
- 敬茶list,
- 吉祥說話list
- 跪墊
- 紙杯
- 茶葉, 紅棗, 蓮子
- 托盆
- label紙
- 筆
[All姊妹] 準備出門",,[攝影] 食飯 (self arrange),[男家媽媽] keep 金器,三文治 ,
31,12:00,12:15,馬鞍山男家/海澄軒,"新娘化妝換衫 (外拍)
兄弟,姊妹 食飯 (海澄軒)",,化妝 (外拍),食飯 (海澄軒),"[All兄弟] 幫手拎掛,敬茶物品到海澄軒
[Tony] 帶路食飯 (海澄軒)",[化妝] 新娘(外拍),,外拍婚紗 + 耳環,
32,12:15,12:30,,,,,,,,,,
33,12:30,12:45,,,,,,,,,,
34,12:45,13:00,,,,,,,,,,
35,13:00,13:15,馬鞍山男家,,,化妝完成 (外拍),,,,,,
36,13:15,13:30,馬鞍山男家/海澄軒,Contact司機+收拾,"Contact司機 (花車)
- 花車book左13:30到",,,"[Ray] 準備埋單
[Chris] Contact司機 (28座+ 攝影) 海澄軒集合
- 28座 book左13:30到",,,,
37,13:30,13:45,馬鞍山男家/海澄軒,"新郎,新娘,兄弟,姊妹,攝影師,化妝 出發去西九",上車 (花車),拎花球 + 上車 (花車),上車 (28座),上車 (28座),"[攝影] 上車 (28座)
[化妝] 上車 (花車)",,花球,
38,13:45,14:00,,,,,,,,,,
39,14:00,14:15,,,,,,,,,,
40,14:15,14:30,西九文化區,外拍集合,集合,集合,集合,集合,"[攝影] 集合
[化妝] 集合",,,
41,14:30,14:45,西九文化區,外拍 + 補影新郎兄弟 + 新郎派利是給兄弟,外拍 + 補影新郎兄弟 + 派利是給兄弟,外拍 ,外拍,外拍 + 補影新郎兄弟 + 新郎派利是給兄弟,[攝影] 外拍 + 補影新郎兄弟,,兄弟利是 x 7,
